A00001,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper",,,"arm/arms raised, kneeling, sitting, man, man, old, blessing",date not known
,,,,,,
A00818,Design for Tapestry,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"angel, instrument, harp, instrument, violin, music, orchard, plant, wing",date not known
,,,,,,
A00819,The Archangel Raphael,Watercolour on paper,Pre-Raphaelite Brotherhood,19th century,"Archangel Raphael, angel, man, robe, window, stained glass, wing",date not known
,,,,,,
A00820,The Archangel Gabriel,Watercolour on paper,Pre-Raphaelite Brotherhood,19th century,"Archangel Gabriel, angel, lily, wing, man, robe, window, stained glass",date not known
,,,,,,
A00821,Lycia: A Burdock,Watercolour on paper,,,,1843–4
,,,,,,
A00822,Lycia: A Xanthian Youth,Graphite on paper,,,,1843–4
,,,,,,
A00823,Lycia: A Xanthian Boy with a Bow,Graphite on paper,,,,1843–4
,,,,,,
A00824,Lycia: Women in Near Eastern Dress,Ink and watercolour on paper,,,,1843–4
,,,,,,
A00825,Joseph Presents his Father to Pharoah,Wood engraving on paper,,,"Egypt, father, son, Genesis, chapter 47, Jacob, Joseph, black, greeting, man, man, old, column, palace, ornament, throne, vase, pharoah",1864
,,,,,,
A00826,Moses Keeping Jethro’s Sheep,Wood engraving on paper,,,"Exodus, chapter 3, Moses, cloak, crook, desert, mountain, rocky, goat, sheep, man, standing, shepherd / shepherdess",1863
,,,,,,
A00827,Moses and Aaron before Pharoah,Wood engraving on paper,,,"Aaron, Exodus, chapter 7, Moses, idol, miracle, Egypt, Egyptian, column, terrace, palace, bowing, recoiling, crowd, man, sitting, standing, canopy, throne, censer, fan, sculpture, Egyptian, courtier, pharoah, horror, transformation, snake",1863
,,,,,,
A00828,Pharoah Honours Joseph,Wood engraving on paper,,,"Egyptian, Genesis, chapter 41, Joseph, bowing, crowd, man, woman, sitting, standing, canopy, throne, fan, ring, sculpture, Egyptian, courtier, pharoah, queen, hall, humility",1864
,,,,,,
A00829,Moses Strikes the Rock,Wood engraving on paper,,,"Exodus, chapter 17, Moses, Numbers, chapter 20, miracle, bending forward, kneeling, standing, child, crowd, man, woman, pointing, desert, gorge, rocky, waterfall, drinking, jug, staff",1865
,,,,,,
A00830,By the Waters of Babylon,Wood engraving on paper,,,"Babylon, Babylon, Iraq, Jewish captivity in Babylon, Psalms, 137, bench, instrument, harp, comforting, talking, weeping, group, man, woman, reclining, sitting, standing, garden, nostalgia, sadness, pool, tree, water-lily",1865
,,,,,,
A00831,Miriam,Wood engraving on paper,,,"Exodus, chapter 15, Miriam, crowd, girl, woman, dance, music, desert, palm, dress, jewellery, instrument, cymbal, instrument, harp, instrument, tambourine, happiness",1864
,,,,,,
A00832,Daniel’s Prayer,Wood engraving on paper,,,"Daniel, prayer, curtain, rug, shoe, door, panelling, hiding, kneeling, man, interior - non-specific",1865
,,,,,,
A00833,Joseph before Pharoah,Wood engraving on paper,,,"Genesis, chapter 41, Joseph, bird - non-specific, black, group, man, talking, column, palace, hall, pharoah, sculpture, Egyptian",1864
,,,,,,
A00834,Joseph Distributes Corn,Wood engraving on paper,,,"Joseph, basket, coin, scales, table, child, group, man, woman, sitting, clerk, shopping, door, office",1864
,,,,,,
A00835,The Israelites in Egypt: Water Carriers,Wood engraving on paper,,,"Egypt, Jewish, woman, drawing water, servant, jug, statue",date not known
,,,,,,
A00836,Moses Slaying the Egyptians,Wood engraving on paper,,,"Egypt, Egyptian, building site, obelisk, Exodus, chapter 2, Moses, attacking, bending forward, contorted, man, hammer, whip, murder, palm",date not known
,,,,,,
A00837,The Holy Family with the Infant St John,Oil paint on canvas,,,"Christ, Holy Family, Virgin Mary, St John the Baptist, St Joseph, baby, man, woman, sitting, cross, scroll, family, mother and child, wooded",1788–9
,,,,,,
A00838,Fettered Nude Figure Reclining by a Rock,Ink and watercolour on paper,,,"bound, male, man, reclining, rocky",c.1825
,,,,,,
A00839,Ruth and Naomi,Oil paint on canvas,,,"Naomi, Ruth, crouching, standing, man, woman, talking, daughter, mother, farmland, palm, tree, harvesting",1876–7
,,,,,,
A00840,Ruth and Boaz,Oil paint on canvas,,,"Boaz, Ruth, Ruth, chapter 2, bending forward, crouching, man, woman, field, wheat, harvesting",1876–7
,,,,,,
A00841,"Naomi, Ruth and Obed",Oil paint on canvas,,,"Naomi, Ruth, Ruth, chapter 4, palm, rocky, standing, supporting, woman, woman, old",1876–7
,,,,,,
A00842,David,Watercolour on paper,Pre-Raphaelite Brotherhood,19th century,"1 Samuel, chapter 17, David, army, boy, sling, staff, stream",1858–64
,,,,,,
A00843,The Adoration,Watercolour on paper,Pre-Raphaelite Brotherhood,19th century,"Holy Family, Nativity, Virgin Mary, St Joseph, angel, brazier, crown, hay, bull, cow, group, holding hands, kissing, kneeling, looking / watching, man, man, old, woman, shepherd / shepherdess, stable",1858–64
,,,,,,
A00844,King David,Watercolour on paper,Pre-Raphaelite Brotherhood,19th century,"David, instrument, chimes, man, sitting, music, peacock",1858–64
,,,,,,
A00845,Fanny Cornforth,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Cornforth, Fanny, head / face, individuals: female, woman",1859
,,,,,,
A00846,Study of a Man Smoking a Long Pipe,Ink and watercolour on paper,Pre-Raphaelite Brotherhood,19th century,"coat, hat, pipe, man, standing, smoking",c.1849
,,,,,,
A00847,Melancholia,Relief print on paper,Pre-Raphaelite Brotherhood,19th century,"contemplation, sadness, hat, cap, plant pot, man, sitting, skeleton, plant, wooded",date not known
,,,,,,
A00848,Study for Illustration,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"boy, girl, man, talking, candelabra, cloak, hat, jug, drinking, interior - non-specific",date not known
,,,,,,
A00849,Study for Illustration,Wood engraving on paper,Pre-Raphaelite Brotherhood,19th century,"bowing, group, looking / watching, man, king, vision",date not known
,,,,,,
A00850,Dorothy Barnard,Graphite on paper,,,"Barnard, Dorothy, girl, head / face, individuals: female, looking down",1885–6
,,,,,,
A00851,Polly Barnard,Graphite on paper,,,"Barnard, Polly, girl, head / face, individuals: female, looking down",1885–6
,,,,,,
A00852,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", bed, bedroom, death, dog - non-specific, grief, shock, group, illness, man, man, old, woman",published 1818
,,,,,,
A00853,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", arm/arms raised, standing, gesticulating, man, rocky, tree",published 1818
,,,,,,
A00854,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", armour, helmet, lance, shield, sword, attacking, pleading, group, kneeling, man, castle, death, horse, mist, soldier",published 1818
,,,,,,
A00855,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", Don Quixote, Sancho Panza, armour, lance, donkey, horse, wooded, knight, servant, man, woman, riding",published 1818
,,,,,,
A00856,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", arm/arms raised, man, shouting, cave, donkey",published 1818
,,,,,,
A00857,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", building - non-specific, dog - non-specific, horse, kneeling, man, woman, shock",published 1818
,,,,,,
A00858,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", bed, blanket, curtain, sheet, candle, figure, woman, sitting",published 1818
,,,,,,
A00859,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", aristocrat, courtier, clerk, group, listening, looking / watching, man, woman, hat, staff, throne, writing",published 1818
,,,,,,
A00860,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", Don Quixote, Sancho Panza, arm/arms raised, gesticulating, group, looking / watching, man, woman, blindfold, horse, shield, stupidity",published 1818
,,,,,,
A00861,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", Middle East, basket, coast, palm, comforting, embracing, gesticulating, man, woman, stair / step, terrace",published 1818
,,,,,,
A00862,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", arm/arms raised, lying down, collapse, gesticulating, hiding, supporting, man, woman, bed, curtain, bedroom",published 1818
,,,,,,
A00863,title not known,Oil paint on wood,,,"""Cervantes, Don Quixote de la Mancha"", illness, looking / watching, man, woman, rocky, tree",published 1818
,,,,,,
A00864,Project for the Facade of the Tate Gallery,Ink on paper,,,"England, Millbank, Tate Gallery / Tate Britain, carriage, child, group, man, woman, classical, column, dome, portico, stair / step, museum, street, diagrammatic, horse, sculpture, classical",c.1893
,,,,,,
A00865,Project for the Facade of the Tate Gallery,Ink on paper,,,,c.1893
,,,,,,
A00866,Studies of Angels etc. for the Dome of St Paul’s,Graphite on paper,,,"England, ""St Pauls Cathedral"", angel, cathedral, stonework",c.1862–7
,,,,,,
A00867,The First Drawing ... made for Ritson,Ink and watercolour on paper,,,"""Chaucer, Geoffrey, Canterbury Tales - non-specific"", England, Kent, caption, friar / monk, nun, pilgrimage, group, man, woman, horse, house, street, procession, riding",c.1806–7
,,,,,,
A00868,title not known,Ink and graphite on paper,,,"""Chaucer, Geoffrey, Canterbury Tales - non-specific"", figure, group, pilgrimage, procession, riding",c.1806–7
,,,,,,
A00869,title not known,Ink on paper,,,"""Chaucer, Geoffrey, Canterbury Tales - non-specific"", head / face, man",1806–7
,,,,,,
A00870,title not known,Ink on paper,,,"""Chaucer, Geoffrey, Canterbury Tales - non-specific"", England, Kent, friar / monk, nun, pilgrimage, group, man, woman, hill, wooded, horse, riding",1806–7
,,,,,,
A00871,title not known,Ink and watercolour on paper,,,"""Chaucer, Geoffrey, Canterbury Tales - non-specific"", man, pilgrimage, riding",1806–7
,,,,,,
A00872,title not known,Ink on paper,,,"""Chaucer, Geoffrey, Canterbury Tales - non-specific"", group, head / face, man, woman, hat, cap, pilgrimage",1806–7
,,,,,,
A00873,title not known,Ink on paper,,,"""Chaucer, Geoffrey, Canterbury Tales - non-specific"", horse, man, woman, pilgrimage, procession, riding",1806–7
,,,,,,
A00874,"Sketch for ‘The Pilgrimage to Canterbury’, with studies of heads, figures on horseback, and two group sketches",Ink on paper,,,"beard, crouching, group, hiding, talking, man, woman",1806–7
,,,,,,
A00875,title not known,Graphite on paper,,,"""Chaucer, Geoffrey, Canterbury Tales - non-specific"", instrument, bagpipes, man, music",1806–7
,,,,,,
A00876,title not known,Ink on paper,,,"""Chaucer, Geoffrey, Canterbury Tales - non-specific"", hat, hood, head / face, man, pointing, pilgrimage",1806–7
,,,,,,
A00877,"Sketch for ‘The Pilgrimage to Canterbury’, with a compositional sketch, a key to the figures, and studies of heads and figures",Ink on paper,,,"""Chaucer, Geoffrey, Canterbury Tales - non-specific"", ""artists notes"", horse, man, woman, pilgrimage, procession",1806–7
,,,,,,
A00878,Preliminary Version (?or Later Replica) of Finished Composition (N01163),Watercolour on paper,,,,date not known
,,,,,,
A00879,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, figure, sitting",c.1858
,,,,,,
A00880,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, sitting, woman",c.1858
,,,,,,
A00881,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, sitting, woman",c.1858
,,,,,,
A00882,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, hand/hands on hip, sitting, woman",c.1858
,,,,,,
A00883,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, book - non-specific, sitting, woman",c.1858
,,,,,,
A00884,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, sitting, woman",c.1858
,,,,,,
A00885,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, arm/arms raised, sitting, woman, justice - woman with sword and scales",c.1858
,,,,,,
A00886,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, sitting, woman",c.1858
,,,,,,
A00887,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, chair, arm/arms raised, sitting, woman",c.1858
,,,,,,
A00888,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, sitting, woman",c.1858
,,,,,,
A00889,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, sitting, woman",c.1858
,,,,,,
A00890,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, chair, sitting, woman",c.1858
,,,,,,
A00891,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, book - non-specific, sitting, woman",c.1858
,,,,,,
A00892,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, sitting, woman",c.1858
,,,,,,
A00893,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, book - non-specific, arms folded, sitting, woman",c.1858
,,,,,,
A00894,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, book - non-specific, child, group, man, sitting, reading",c.1858
,,,,,,
A00895,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, arch, child, figure, man, old, group, sitting, standing",c.1858
,,,,,,
A00896,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, arch, figure, man, old, group, sitting",c.1858
,,,,,,
A00897,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, child, group, man, old, sitting, standing",c.1858
,,,,,,
A00898,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, arch, child, figure, man, group, sitting",c.1858
,,,,,,
A00899,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, hat, tablet, arch, group, man, old, sitting, writing",c.1858
,,,,,,
A00900,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, book - non-specific, arch, child, group, man, old, sitting, standing",c.1858
,,,,,,
A00901,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, book - non-specific, arch, child, group, man, old, sitting, reading",c.1858
,,,,,,
A00902,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, wreath, arch, child, figure, man, old, group, sitting",c.1858
,,,,,,
A00903,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, arch, child, figure, group, sitting",c.1858
,,,,,,
A00904,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, arch, child, figure, man, old, group, sitting",c.1858
,,,,,,
A00905,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, arch, child, group, man, man, old, sitting",c.1858
,,,,,,
A00906,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, arch, figure, man, group, sitting",c.1858
,,,,,,
A00907,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, arch, man, man, old, sitting",c.1858
,,,,,,
A00908,title not known,Watercolour on paper,,,"Stevens, Alfred George, British Museum Reading Room scheme, arch, child, figure, group, sitting",c.1858
,,,,,,
A00909,"The Death of Actaeon, with a Distant View of Montjovet, Val d’Aosta",Oil paint on canvas,,,"Actaeon, Artemis / Diana, Dingwall. Novar Estate, Highland, Scotland, figure, mountain, valley, river, tree",c.1837
,,,,,,
A00910,"A Mountain Stream, Perhaps Bolton Glen",Mixed media and graphite on paper,,,,c.1810–5
,,,,,,
A00911,Frontispiece,Etching on paper,,,"Europa, Zeus / Jupiter, abbey, capital, cartouche, stonework, wall, classical, townscape, distant, bay, coast, sea, bull, dock, leaf, plant, water-lily, fish, skate, peacock, boat - non-specific, ""book, Turner, J.M.W., Liber Studiorum"", document - non-specific, painting",1812
,,,,,,
A00912,"Frontispiece, engraved by J.C. Easling",Etching and mezzotint on paper,,,"Europa, Zeus / Jupiter, abbey, building, capital, cartouche, stonework, wall, classical, townscape, distant, bay, sea, bull, dock, leaf, water-lily, fish, skate, peacock, boat - non-specific, ""book, Turner, J.M.W., Liber Studiorum"", document - non-specific, painting",1812
,,,,,,
A00913,Bridge and Cows,Etching on paper,,,"bridge, building - non-specific, cow, river, wooded, man, woman, talking",1807
,,,,,,
A00914,"Bridge and Cows, engraved by Charles Turner",Etching and mezzotint on paper,,,"bridge, building - non-specific, cow, river, wooded, man, woman, talking",1807
,,,,,,
A00915,Woman and Tambourine,Etching on paper,,,"Athene / Minerva, bridge, bridge, townscape, distant, child, group, woman, goat, sheep, river, wooded, helmet, instrument, tambourine, music",1807
,,,,,,
A00916,"Woman and Tambourine, engraved by Charles Turner",Etching and mezzotint on paper,,,"Athene / Minerva, bridge, bridge, townscape, distant, child, group, woman, goat, sheep, river, wooded, helmet, instrument, tambourine, music",1807
,,,,,,
A00917,Scene on the French Coast,Etching on paper,,,"France, barrel, beach, sea, horse, boat, sailing, cart, carrying, group, man, sitting, walking, castle, sailor, smoking",1807
,,,,,,
A00918,"Scene on the French Coast, engraved by Charles Turner",Etching and mezzotint on paper,,,"France, barrel, beach, sea, horse, boat, sailing, cart, carrying, group, man, sitting, walking, castle, sailor, smoking",1807
,,,,,,
A00919,Basle,Etching on paper,,,"Basel - non-specific, River Rhine, Switzerland, boat - non-specific, riding, bridge, cathedral, house, spire, townscape, figure, river",1807
,,,,,,
A00920,"Basle, engraved by Charles Turner",Etching and mezzotint on paper,,,"Basel - non-specific, River Rhine, Switzerland, boat - non-specific, riding, bridge, cathedral, house, spire, townscape, figure, river, sun, sunbeam",1807
,,,,,,
A00921,Jason,Etching and engraving on paper,,,"""Apollonius Rhodius, Argonautics"", ""Ovid, Metamorphoses"", Jason, cave, cliff, wooded, serpent, climbing, man, skeleton",1807
,,,,,,
A00922,"Jason, engraved by Charles Turner",Etching and mezzotint on paper,,,"""Apollonius Rhodius, Argonautics"", ""Ovid, Metamorphoses"", Jason, cave, cliff, wooded, serpent, climbing, man, skeleton",1807
,,,,,,
A00923,The Strawyard,Etching and engraving on paper,,,"barn, farm, cart, farm labourer, haystack, horse, man",1808
,,,,,,
A00924,"The Straw Yard, engraved by Charles Turner","Etching, mezzotint and drypoint on paper",,,"barn, farm, cart, farm labourer, haystack, man, pool",1808
,,,,,,
A00925,The Castle above the Meadows,Etching and engraving on paper,,,"boy, sitting, castle, cow, field, hill, wooded, cowherd, instrument, pipe, music",1808
,,,,,,
A00926,"The Castle above the Meadows, engraved by Charles Turner",Etching and mezzotint on paper,,,"boy, sitting, castle, cow, field, hill, wooded, cowherd, instrument, pipe, music",1808
,,,,,,
A00927,Mount St Gothard,Etching and engraving on paper,,,"Alps, St Gotthard Pass, Switzerland, gorge, mountain, rocky, mule, path",1808
,,,,,,
A00928,"Mt St Gothard, engraved by Charles Turner",Etching and mezzotint on paper,,,"Alps, St Gotthard Pass, Switzerland, gorge, mountain, rocky, mule, path",1808
,,,,,,
A00929,Ships in a Breeze,Etching and engraving on paper,,,"figure, harbour, sea, wave, storm, pier, ship, sailing",1808
,,,,,,
A00930,"Ships in a Breeze, engraved by Charles Turner",Etching and mezzotint on paper,,,"figure, harbour, sea, wave, storm, sunbeam, pier, ship, sailing",1808
,,,,,,
A00931,Holy Island Cathedral,Etching and engraving on paper,,,"England, Holy Island, Northumberland, ""St Cuthberts Priory"", Romanesque, arcade, arch, cathedral, priory, religious, figure",1808
,,,,,,
A00932,"Holy Island Cathedral, engraved by Charles Turner",Etching and mezzotint on paper,,,"England, Holy Island, Northumberland, ""St Cuthberts Priory"", Romanesque, arcade, arch, cathedral, priory, religious, figure",1808
,,,,,,
A00933,"Pembury Mill, Kent",Etching and engraving on paper,,,"England, Kent, Pembury, Pembury Mill, cart, dog - non-specific, dove, door, dovecote, watermill, man, miller, sack",1808
,,,,,,
A00934,"Pembury Mill, Kent, engraved by Charles Turner",Etching and mezzotint on paper,,,"England, Kent, Pembury, Pembury Mill, cart, dog - non-specific, dove, dovecote, watermill, figure, miller, waterwheel",1808
,,,,,,
A00935,The Bridge in Middle Distance,Etching and engraving on paper,,,"bridge, road, group, woman, river, wooded",1808
,,,,,,
A00936,"The Bridge in Middle Distance, engraved by Charles Turner","Etching, aquatint and mezzotint on paper",,,"bridge, road, group, woman, river, sunset, wooded",1808
,,,,,,
A00937,Dunstanborough Castle,Etching and engraving on paper,,,"Dunstanburgh Castle, England, Northumberland, bay, coast, rocky, sea, hill, sheep, castle, cottage, medieval, military",1808
,,,,,,
A00938,"Dunstanborough Castle, engraved by Charles Turner","Etching, aquatint and mezzotint on paper",,,"Dunstanburgh Castle, England, Northumberland, bay, coast, rocky, sea, evening, hill, sheep, castle, cottage, medieval, military",1808
,,,,,,
A00939,"Lake Thun, Switzerland",Etching and engraving on paper,,,"Lake Thun, Switzerland, bank, lake, mountain, boat, rowing, boat, sailing, cart, group, man, gun, rifle",1808
,,,,,,
A00940,"Lake of Thun, engraved by Charles Turner","Etching, drypoint and mezzotint on paper",,,"Lake Thun, Switzerland, bank, lake, wave, lightning, storm, mountain, boat, sailing, cart, group, man, gun, rifle",1808
,,,,,,
A00941,The Fifth Plague of Egypt,Etching and engraving on paper,,,"Egypt, Ten Plagues of Egypt, death, death, desert, horse, palm, river, female, man, woman, plague, pyramid, townscape, distant",1808
,,,,,,
A00942,"The Fifth Plague of Egypt, engraved by Charles Turner",Etching and mezzotint on paper,,,"Egypt, Ten Plagues of Egypt, death, death, desert, horse, lightning, storm, river, female, plague, woman, pyramid, townscape, distant",1808
,,,,,,
A00943,The Farmyard with the Cock,Etching and engraving on paper,,,"bird - non-specific, cockerel, dock, pig, wooded, cart, farm, fence, man, talking",1809
,,,,,,
A00944,"The Farm-yard with the Cock, engraved by Charles Turner",Etching and mezzotint on paper,,,"bird - non-specific, cockerel, dock, pig, wooded, cart, farm, fence, man, talking",1809
,,,,,,
A00945,The Fall of the Clyde,Etching and engraving on paper,,,"""Akenside, Mark, Hymn to the Naiads"", Lanarkshire - non-specific, Scotland, bank, river, waterfall, gorge, rocky, wooded, bathing / swimming, female, group, woman, nymph",1809
,,,,,,
A00946,"Drawing of the Clyde, engraved by Charles Turner",Etching and mezzotint on paper,,,"""Akenside, Mark, Hymn to the Naiads"", Lanarkshire - non-specific, River Clyde, Scotland, bank, river, waterfall, gorge, rocky, wooded, sunbeam, sunlight, bathing / swimming, female, group, woman, nymph",1809
,,,,,,
A00947,Little Devil’s Bridge,Etching and engraving on paper,,,"Alps, St Gotthard Pass, ""Little Devils Bridge"", Switzerland, bridge, gorge, rocky, wooded, pine, trunk, blasted",1809
,,,,,,
A00948,"Little Devil’s Bridge, engraved by Charles Turner",Etching and mezzotint on paper,Sublime,18th century,"Alps, St Gotthard Pass, ""Little Devils Bridge"", Switzerland, bridge, gorge, rocky, wooded, pine, trunk, blasted",1809
,,,,,,
A00949,Little Devil’s Bridge,Etching and mezzotint engraving on paper,,,"Alps, St Gotthard Pass, ""Little Devils Bridge"", Switzerland, bridge, gorge, rocky, wooded, pine, trunk, blasted",1809
,,,,,,
A00950,The Leader Sea-piece,Etching and engraving on paper,,,"boat, sailing, ship, sailing, sea, wave, wind",1809
,,,,,,
A00951,"The Leader Sea Piece, engraved by Charles Turner",Etching and mezzotint on paper,,,"boat, sailing, ship, sailing, cloud, wind, sea, wave",1809
,,,,,,
A00952,"Morpeth, Northumberland",Etching and engraving on paper,,,"England, Morpeth, Morpeth Castle, Northumberland, bridge, castle, market, scaffolding, signage, street, builder, shopping, group, man, woman, hill, mule, ladder",1809
,,,,,,
A00953,"Morpeth, engraved by Charles Turner",Etching and mezzotint on paper,,,"England, Morpeth, Morpeth Castle, Northumberland, bridge, castle, market, scaffolding, signage, street, builder, shopping, group, man, woman, hill, mule, shadow, ladder",1809
,,,,,,
A00954,Juvenile Tricks,Etching and engraving on paper,,,"apprentice, carpenter, attacking, boy, group, man, washing, bucket, humour, playing, townscape, distant, water tank, wooded",1811
,,,,,,
A00955,"Juvenile Tricks, engraved by William Say",Etching and mezzotint on paper,,,"apprentice, carpenter, attacking, boy, group, man, washing, bucket, humour, playing, townscape, distant, water tank, wooded",1811
,,,,,,
A00956,Temple of Minerva Medica,Print on paper,,,"Hinduism, worship, Italy, Rome, Temple of Minerva Medica, classical, cornice, religious, road, shrine, temple, man, pool, wooded",1811
,,,,,,
A00957,"Temple of Minerva Medica, engraved by Robert Dunkarton",Etching and mezzotint on paper,,,"Hinduism, worship, Italy, Rome, Temple of Minerva Medica, classical, cornice, religious, road, shrine, temple, man, pool, wooded",1811
,,,,,,
A00958,"Coast of Yorkshire, near Whitby",Etching and engraving on paper,,,"England, Whitby - non-specific, Yorkshire, North, cliff, coast, rocky, wave, storm, destruction, figure, group, rescuing, lighthouse, shipwreck",1811
,,,,,,
A00959,"Coast of Yorkshire, engraved by William Say",Etching and mezzotint on paper,,,"England, Whitby - non-specific, Yorkshire, North, cliff, coast, rocky, wave, seagull, storm, destruction, figure, group, rescuing, lighthouse, shipwreck",1811
,,,,,,
A00960,Hindhead Hill,Etching and engraving on paper,,,"man, mountain, valley, sheep, shepherd / shepherdess",1811
,,,,,,
A00961,"Hind Head Hill, engraved by Robert Dunkarton","Etching, mezzotint and drypoint on paper",,,"England, Hindhead, Surrey, cloud, sunbeam, hill, mountain, valley, wooded, sheep, gallows, man, shepherd / shepherdess",1811
,,,,,,
A00962,London from Greenwich,Etching and engraving on paper,,,"Baroque, dome, spire, townscape, distant, England, Greenwich, Royal Naval Hospital, ""St Pauls Cathedral"", Westminster, Westminster Abbey, River Thames, boat, sailing, ship, sailing, deer, hill, wooded, river, figure",1811
,,,,,,
A00963,"London from Greenwich, engraved by Charles Turner",Etching and mezzotint on paper,,,"Baroque, dome, spire, hospital, townscape, distant, England, Greenwich, Royal Naval Hospital, ""St Pauls Cathedral"", Westminster, Westminster Abbey, River Thames, boat, sailing, ship, sailing, cloud, sunbeam, deer, hill, wooded, river, figure",1811
,,,,,,
A00964,Windmill and Lock,Etching and engraving on paper,,,"boat, barge, canal, horse, figure, lock, windmill",1811
,,,,,,
A00965,"Windmill and Lock, engraved by William Say",Etching and mezzotint on paper,,,"boat, barge, canal, horse, figure, lock, windmill",1811
,,,,,,
A00966,Junction of Severn and Wye,Etching and engraving on paper,,,"Chepstow, Chepstow Castle, Monmouthshire, River Severn, River Wye, Wales, castle, military, figure, river, valley, wooded",1811
,,,,,,
A00967,The Junction of the Severn and the Wye,"Etching, aquatint and mezzotint on paper",,,"England, River Severn, River Wye, figure, river, rocky, wooded, tower",1811
,,,,,,
A00968,Marine Dabblers,Etching on paper,,,"anger, happiness, destruction, humour, beach, coast, sea, wave, boat, boat, sailing, shipwreck, boy, grimacing, shouting, smiling, group, kneeling, sitting, standing, man, playing, sailor",1811
,,,,,,
A00969,"Marine Dabblers, engraved by William Say",Etching and mezzotint on paper,,,"anger, happiness, destruction, humour, beach, coast, sea, wave, boat, boat, sailing, shipwreck, boy, grimacing, shouting, smiling, group, kneeling, sitting, standing, man, playing, sailor",1811
,,,,,,
A00970,"Near Blair Athol, Scotland",Etching and engraving on paper,,,"Blair Atholl, Perth and Kinross, River Garry, Scotland, Scotland, Scottish, fishing, man, pool, river, rocky, wooded",1811
,,,,,,
A00971,"Near Blair Athol Scotland, engraved by William Say",Etching and mezzotint on paper,,,"Blair Atholl, Perth and Kinross, River Garry, Scotland, Scotland, Scottish, fishing, man, pool, river, rocky, wooded",1811
,,,,,,
A00972,Lauffenburgh on the Rhine,Etching and engraving on paper,,,"Germany, Switzerland, Laufenburg, River Rhine, basket, bridge, tower, townscape, distant, group, man, woman, river, rocky",1811
,,,,,,
A00973,"Lauffenburgh on the Rhine, engraved by Thomas Hodgetts",Etching and mezzotint on paper,,,"Germany, Switzerland, Laufenburg, River Rhine, basket, bridge, tower, townscape, distant, group, man, woman, river, rocky",1811
,,,,,,
